Term,Translation,Status,ReviewedBuildId,Comment
Relics/all_in_desc,"보드에 있는 <sprite name=""CRIT_PEG""> 하나당 공격이 <style=dmg_negative>-1</style>/<style=dmg_bonus>+1</style>을 얻습니다.",draft,,
Relics/all_in_name,몰빵,draft,,
Relics/all_orbs_buff_desc,"<style=activate>활성화</style>된 모든 <sprite name=PEG>는 <style=dmg_bonus>(+{[ALL_ORBS_BUFF_AMOUNT]} 대미지)</style> 업그레이드되지만, 모든 공격은 <style=dmg_negative>{[ALL_ORBS_BUFF_DMG_RED]}/{[ALL_ORBS_BUFF_CRIT_RED]}</style>를 잃습니다.",draft,,
Relics/all_orbs_buff_name,영광스러운 고통의 반지,draft,,
Relics/all_orbs_debuff_desc,"공격이 <style=dmg_bonus>2배 대미지</style>를 주지만, <sprite name=PEG>이 <style=activate>활성화</style>될 때마다 <style=dmg_negative>(-{[ALL_ORBS_DEBUFF_AMOUNT]} 대미지)</style> 다운그레이드됩니다.",draft,,
Relics/all_orbs_debuff_name,끝없는 탐식,draft,,
Relics/all_orbs_destroy_pegs_desc,"<style=hit>명중한</style> <sprite name=""PEG"">는 <style=Destroy>파괴</style>됩니다.",draft,,
Relics/all_orbs_destroy_pegs_name,공허의 부름,draft,,
Relics/all_orbs_morbid_desc,"모든 구슬이 <style=morbid>모비드</style>를 얻지만, 보드에 <sprite name=""REFRESH_PEG"">가 1개 줄어듭니다.",draft,,
Relics/all_orbs_morbid_desc2,"모든 구슬이 <style=morbid>모비드</style>를 얻지만 보드의
 <sprite name=""REFRESH_PEG""> 수가 절반으로 줄어듭니다(소수점 이하 버림).",draft,,
Relics/all_orbs_morbid_name,안새로고침 물약,draft,,
Relics/alternate_shot_power_desc,"짝수 번째로 뽑은 구슬은 {[ALTERNATE_SHOT_INC]}배의 힘으로 발사되고, 홀수 번째로 뽑은 구슬은 {[ALTERNATE_SHOT_DEC]}배의 힘으로 발사됩니다.",draft,,
Relics/alternate_shot_power_desc_locked,구겨진 캐릭터 시트를 사용해 사용자 정의 게임을 완료하면 잠금이 해제됩니다.,draft,,
Relics/alternate_shot_power_name,페글린 왕의 저주,draft,,
Relics/apply_random_status_to_target_on_crit_desc,치명타가 발동될 때마다 대상 적에게 무작위 디버프를 적용합니다.,draft,,
Relics/apply_random_status_to_target_on_crit_name,효과적인 비판,draft,,
Relics/armor_plus_one_desc,<style=shield>보호막</style>을 얻을 때마다 획득량이 1 증가합니다.,draft,,
Relics/armor_plus_one_desc2,<style=shield>보호막</style>을 얻을 때마다 획득량이 {[BALLWARK_INC]}만큼 증가합니다.,draft,,
Relics/armor_plus_one_name,에센셜 오일,draft,,
Relics/attacks_apply_exploitaball_desc,"공격이 적에게 <style=exploitaball>{[ALL_ATTACKS_APPLY_EXPLOITABALL_AMOUNT]} 악용구</style>를 적용하며, 치명타 발생 시에는 <style=exploitaball>{[ALL_ATTACKS_APPLY_EXPLOITABALL_CRIT_AMOUNT]} 악용구</style>를 적용합니다.",draft,,
Relics/attacks_apply_exploitaball_name,멋진 치명타,draft,,
Relics/attacks_apply_poison_desc,모든 공격이 적들에게 <style=poison>{[POISON_ATK]} 감염</style>을 적용합니다.,draft,,
Relics/attacks_apply_poison_name,더러운 장갑,draft,,
Relics/attacks_apply_transpherency_desc,모든 공격이 적들에게 <style=transpherency>{[ATTACKS_APPLY_TRANSPHERENCY_AMOUNT]} 투명성</style>을 적용합니다.,draft,,
Relics/attacks_apply_transpherency_name,길을 비켜라!,draft,,
Relics/bag_of_orange_pegs_desc,"공격이 <sprite name=""PEG_CLEARED""> 또는 사라진 <sprite name=""PEG"">의 수에 따라 <style=dmg_bonus>대미지 배수</style>를 획득합니다.",draft,,
Relics/bag_of_orange_pegs_name,주황색 페그 가방,draft,,
Relics/ballpeen_desc,"<sprite name=""PEG_SHIELDED"">가 만들어질 때마다 <style=ballwark>{[BALLWARK_SHIELD_PEG_GAIN]} 보호막</style>을 얻습니다.",draft,,
Relics/ballpeen_name,볼핀 망치,draft,,
Relics/ballusion_dodge_grants_crit_desc,"<style=dodge>환각</style>으로 공격을 피할 때마다 {[DODGE_CRIT_COUNT]} <sprite name=""PEG"">을 <sprite name=""TEMP_CRIT"">로 바꿉니다.<style=blind></style>",draft,,
Relics/ballusion_dodge_grants_crit_name,리더블렛,draft,,
Relics/ballusion_doubled_desc,"획득하는 모든 <style=dodge>환각</style>이 두 배가 되지만, <style=dodge>환각</style>이 발동될 때 <style=dodge>환각</style>을 <style=damage>두 배로 잃습니다</style>.",draft,,
Relics/ballusion_doubled_name,운명의 실타래,draft,,
Relics/ballusion_on_crit_desc,치명타가 활성화될 때 <style=dodge>{[BALLUSION_ON_CRIT_AMOUNT]} 환각</style>을 얻습니다.,draft,,
Relics/ballusion_on_crit_name,비타민 C!,draft,,
Relics/ballwark_counter_desc,공격 받으면 공격자가 <style=shield>남은 보호막</style>만큼의 <style=damage>대미지를 받습니다</style>.,draft,,
Relics/ballwark_counter_desc2,"공격을 받은 뒤, 공격자는 <style=shield>남아 있는 보호막 × {[BALLWARK_COUNTER_MULT]}</style>에 해당하는 <style=damage>대미지</style>를 받습니다.",draft,,
Relics/ballwark_counter_name,반격 배송 서비스,draft,,
Relics/ballwark_to_muscircle_desc,<style=shield>{[BALLWARK_FOR_MUSCIRCLE_GAIN]} 보호막</style>을 획득할 때마다 <style=strength>1 근력</style>을 얻습니다. 다른 효과로 <style=strength>근력</style>을 얻으면 <style=shield>{[MUSCIRCLE_TO_BALLWARK_GAIN]} 보호막</style>을 얻습니다.,draft,,
Relics/ballwark_to_muscircle_name,발라드로이,draft,,
Relics/basic_stone_bonus_damage_desc,펩볼이 <style=dmg_bonus>+{[BASIC_STONE_BONUS]}/+{[BASIC_STONE_CRIT_BONUS]}</style>를 얻습니다.,draft,,
Relics/basic_stone_bonus_damage_name,가혹한 운명의 돌팔매,draft,,
Relics/battle_upgrades_heal_max_hp_desc2,이제 전투 후 업그레이드에 <style=heal>최대 체력 {[FROGGY_HP]} 증가</style> 옵션이 추가되었습니다.,draft,,
Relics/battle_upgrades_heal_max_hp_name,현무암 두꺼비 토템,draft,,
Relics/blind_when_hit_desc,"적이 근접 공격으로 당신을 명중시키면, 해당 적에게 <style=blind>어둠 {[POCKET_BLIND_AMT]}</style>를 부여합니다.",draft,,
Relics/blind_when_hit_desc2,"적이 공격으로 당신을 명중시키면, 해당 적에게 <style=blind>{[POCKET_BLIND_AMT]} 어둠</style>을 부여합니다.",draft,,
Relics/blind_when_hit_name,주머니 속 모래,draft,,
Relics/bomb_force_always_desc2,"<sprite name=""PEG"">에 {[METEOR_PEGS]}번 <style=hit>명중</style>할 때마다 보드가 새로고침될 때까지 폭발력이 증가합니다.",draft,,
Relics/bomb_force_always_legacy_desc,"<sprite name=""PEG"">에 <style=hit>명중</style>할 때마다 폭발력이 증가합니다.",draft,,
Relics/bomb_force_always_legacy_name,고대의 운석,draft,,
Relics/bomb_force_always_name,동역학 운석,draft,,
Relics/bomb_splash_desc,"<sprite name=""BOMB"">이 터지면 주변에 있는 페그가 <style=activate>활성화</style>됩니다.",draft,,
Relics/bomb_splash_name,강화 화약,draft,,
Relics/bombs_apply_blind_desc,"<sprite name=""BOMB"">가 적에게 대미지를 줄 때 <style=blind>{[BOMB_BLIND_AMT]} 어둠</style>을 부여합니다.",draft,,
Relics/bombs_apply_blind_name,연막 개조,draft,,
Relics/bombs_apply_poison_desc,"<sprite name=""BOMB"">이 적에게 대미지를 줄 때 <style=poison>감염 {[BOMB_POISON_AMT]}</style>을 적용합니다.",draft,,
Relics/bombs_apply_poison_name,질식 개조,draft,,
Relics/bombs_nav_gold_desc,"이동 중 <sprite name=""BOMB"">을 폭발시키면 {[BOMB_NAV_GOLD]} <sprite name=""GOLD"">를 얻습니다.",draft,,
Relics/bombs_nav_gold_name,"줄이고, 다시 도화선을 달고, 재활용하고",draft,,
Relics/bombs_one_hit_desc,"<sprite name=""BOMB"">이 한 번의 명중으로 폭발합니다.",draft,,
Relics/bombs_one_hit_name,짧은 도화선,draft,,
Relics/bombs_respawn_desc,"사용한 <sprite name=""BOMB"">이 새로고침으로 다시 생성될 수 있지만, <sprite name=""BOMB"">은 <style=dmg_negative>{[BOMB_REFRESH_DMG]}의 대미지를 줍니다</style>.",draft,,
Relics/bombs_respawn_desc2,"사용한 <sprite name=""BOMB"">이 새로고침으로 다시 생성될 수 있습니다.",draft,,
Relics/bombs_respawn_desc3,"이미 던진 <sprite name=""BOMB"">은 새로고침 시 <sprite name=""BOMB_REGULAR"">로 복원됩니다.",draft,,Clarifies that previously thrown bombs return when the board refreshes.
Relics/bombs_respawn_name,폭탄 재생기,draft,,
Relics/bottom_bouncers_count_desc,페그보드 하단의 바운서와의 충돌이 대미지에 기여합니다.,draft,,
Relics/bottom_bouncers_count_name,밋밋한 반지,draft,,
Relics/boulder_bonus_damage_desc,돌덩이가 <style=dmg_bonus>+{[BOULDORB_BONUS]}/+{[BOULDORB_CRIT_BONUS]}</style>를 얻습니다.,draft,,
Relics/boulder_bonus_damage_name,구스타브의 탄띠,draft,,
Relics/bounces_count_desc,벽과의 충돌이 대미지에 기여합니다.,draft,,
Relics/bounces_count_name,애매한 부적,draft,,
Relics/bouncy_walls_and_bouncers_desc,벽과 바닥 바운서의 탄성이 높아집니다.,draft,,
Relics/bouncy_walls_and_bouncers_name,슬라임의 집,draft,,
Relics/bramble_blind_combo_desc,"적에게 <style=bramble>얽힘</style>을 부여할 때, <style=blind>{[BRANCH_BLIND]} 어둠</style>을 부여합니다. <style=Bramble>얽히지 않은</style> 적에게 <style=blind>어둠</style>을 부여할 때, <style=bramble>얽힘 1</style>을 부여합니다.",draft,,
Relics/bramble_blind_combo_name,눈먼 유대,draft,,
Relics/buff_first_peg_hit_desc,"각 구슬이 처음 <style=hit>명중</style>한 <sprite name=""PEG"">는 <style=dmg_bonus>+10</style> 업그레이드됩니다.",draft,,
Relics/buff_first_peg_hit_name,어드벤처린,draft,,
Relics/coins_contribute_to_damage_desc,"모은 <sprite name=""COIN_ONLY"">도 대미지에 기여합니다.",draft,,
Relics/coins_contribute_to_damage_name,페그리네로의 펜던트,draft,,
Relics/coins_for_healing_desc,"<sprite name=""COIN_ONLY"">을 {[COINS_NEEDED_TO_PROVIDE_HEALING]}개 모을 때마다 <style=heal>체력을 {[COINS_PROVIDE_HEALING_AMOUNT]} 회복</style>합니다.",draft,,
Relics/coins_for_healing_desc2,"<sprite name=""COIN_ONLY"">를 {[COINS_NEEDED_TO_PROVIDE_HEALING]}개 모을 때마다 <style=heal>최대 체력의 {[COINS_PROVIDE_HEALING_AMOUNT]}%를 회복</style>합니다.",draft,,
Relics/coins_for_healing_name,해글린의 모자,draft,,
Relics/coins_give_ballusion_desc,"<sprite name=""COIN_ONLY"">을 획득할 때마다 <style=dodge>{[COINS_PROVIDE_BALLUSION_AMOUNT]} 환각</style>을 얻습니다.",draft,,
Relics/coins_give_ballusion_name,화려한 건틀렛,draft,,
Relics/coins_to_crits_desc,"{[COIN_CRIT]} <sprite name=""COIN_ONLY"">을 수집할 때마다 치명타가 발동합니다.",draft,,
Relics/coins_to_crits_name,치명타의 부름,draft,,
Relics/coins_when_damaged_desc,"<style=damage>체력을 {[DMG_COIN_HP]} 잃을</style> 때마다 보드에 <sprite name=""COIN_ONLY""> {[DMG_COIN_GOLD]}개를 추가합니다.",draft,,
Relics/coins_when_damaged_name,으스스한 해글린의 무서운 모자,draft,,
Relics/confusion_desc2,부정적인 상태 효과가 있는 동안 구슬이 <style=dmg_bonus>+{[CONFUSION_RELIC_STRENGTH_BONUS]}/+{[CONFUSION_RELIC_CRIT_INCREASE]}</style>를 얻습니다. 매 전투를 <style=confuse>혼란 {[CONFUSION_RELIC_CONFUSION_AMOUNT]}</style>을 가진 상태로 시작합니다.,draft,,
Relics/confusion_name,저주받은 가면,draft,,
Relics/convert_coin_to_damage_desc2,"수집한 <sprite name=""COIN_ONLY""> {[COIN_DMG_NUM]}개마다 지정된 적에게 현재 발사의 <style=damage>총 대미지</style>를 주지만, 더 이상 페그보드에서 <sprite name=""GOLD"">를 얻을 수 없습니다.",draft,,
Relics/convert_coin_to_damage_name,녹은 맨틀,draft,,
Relics/counter_attack_desc,"<style=dodge>공격을 회피할</style> 때마다, 공격자는 당신이 자신에게 부여한 <style=dmg_bonus>긍정적인 상태 효과</style>와 적에게 부여한 <style=dmg_neg>부정적인 상태 효과</style>의 총합과 동일한 <style=damage>대미지를 받습니다</style>.",draft,,
Relics/counter_attack_name,반격의 압정,draft,,
Relics/create_gold_on_refresh_desc,"페그보드가 새로고침될 때마다 {[GOLD_REFRESH_COUNT]} <sprite name=""COIN_ONLY"">을 생성합니다.",draft,,
Relics/create_gold_on_refresh_name,리필로소퍼의 돌,draft,,
Relics/crit_also_refresh_desc,"<sprite name=""CRIT_PEG"">를 <style=activate>활성화</style>하면 페그보드가 새로고침됩니다.",draft,,
Relics/crit_also_refresh_name,강력한 물약,draft,,
Relics/crit_bonus_dmg_desc,모든 공격이 <style=dmg_bonus>+0/+1</style>를 얻습니다.,draft,,
Relics/crit_bonus_dmg_name,복잡한 발톱,draft,,
Relics/crit_damages_enemies_desc,"치명타가 발동될 때마다 모든 적에게 <style=damage>({[CRITIKRIS_MULT]} × 구슬의 <sprite name=""CRIT_PEG""> × 치명타 발동 횟수)의 대미지를 줍니다</style>.",draft,,
Relics/crit_damages_enemies_desc2,"치명타가 발동될 때마다 모든 적에게 <style=damage>(구슬의 <sprite name=""CRIT_PEG""> × 치명타 발동 횟수)의 대미지를 줍니다</style>.",draft,,
Relics/crit_damages_enemies_name,크리티크리스,draft,,
Relics/crit_pit_desc,"페그보드에 <sprite name=""CRIT_PEG"">가 {[PIT_ADDITIONAL_CRIT]}개 더 생기지만, <sprite name=""CRIT_PEG"">를 맞히면 구슬이 아래로 날아갑니다.",draft,,
Relics/crit_pit_name,위험한 지름길,draft,,
Relics/crits_add_spinesse_desc,치명타가 {[CRITS_PER_SPINESSE_GAIN]}번 발동될 때마다 <style=finesse>{[NUM_SPINESSE_GAIN_FOR_CRITS]} 정밀</style>을 얻습니다.,draft,,
Relics/crits_add_spinesse_name,마올리꽃,draft,,
Relics/crits_provide_pierce_desc,투사체 공격에서 치명타가 발동할 때마다 적을 하나 더 관통합니다.,draft,,
Relics/crits_provide_pierce_name,오거,draft,,
Relics/crits_stack_ancient_desc,추가 치명타가 발동할 때마다 샷 대미지가 <style=dmg_bonus>{[CRIT_STACK_BONUS]}배</style>로 증가합니다.,draft,,
Relics/crits_stack_ancient_name,고대의 양털,draft,,
Relics/crits_stack_desc2,"두 개 이상의 <sprite name=""CRIT_PEG"">를 <style=activate>활성화</style>시키면, 치명타 대미지에서 일반 대미지를 뺀 수만큼 <sprite name=""PEG""> 대미지가 증가합니다.",draft,,
Relics/crits_stack_name,크리트소말로스의 양털,draft,,
Relics/damage_bonus_plant_flat_desc,식물에게 <style=dmg_bonus>{[ADDITIONAL_PLANT_DAMAGE]}</style>만큼의 대미지를 추가로 줍니다.,draft,,
Relics/damage_bonus_plant_flat_name,정원사의 장갑,draft,,
Relics/damage_bonus_slime_flat_name,소금통,draft,,
Relics/damage_creates_damage_reduction_slime_desc,"턴 시작 시 X개의 <sprite name=""PEG"">에 <style=upgr_slime>대미지 감소 슬라임</style>을 적용합니다. X는 지난 턴에 <style=damage>체력을 잃은</style> 횟수입니다.",draft,,
Relics/damage_creates_damage_reduction_slime_name,빼기 반응,draft,,
Relics/damage_creates_lightning_desc,"<style=damage>체력을 {[DMG_LIGHT_SLIME]} 잃을 때마다</style> 보드에 {[DMG_LIGHT_SLIME_COUNT]}개의 <style=upgr_slime>벼락 슬라임</style>을 추가합니다. <style=upgr_slime>벼락 슬라임</style>이 묻은 <sprite name=""PEG"">은 <style=durable>견고</style>하며, <style=hit>명중할</style> 때 주변 <sprite name=""PEG"">를 감전시킵니다.",draft,,"Reuses official Korean terms for lightning slime, Durable, and Hit."
Relics/damage_creates_lightning_name,번개 연고,draft,,Dev Notes describe a pun on Greased Lightning and allow a flexible name; 번개 연고 is a concise fantasy item name.
Relics/damage_enemies_on_reload_desc,재장전할 때 모든 적에게 <style=damage>{[CHEESE_DAMAGE]} × (재장전 횟수)²의 대미지</style>를 줍니다.,draft,,
Relics/damage_enemies_on_reload_desc2,재장전할 때마다 모든 적에게 <style=damage>재장전 횟수 × {[CHEESE_DAMAGE]}</style>만큼 대미지를 줍니다.,draft,,
Relics/damage_enemies_on_reload_name,상한 치즈,draft,,
Relics/damage_reduction_desc,<style=damage>체력을 잃을 때</style>마다 손실량이 1 감소합니다.,draft,,
Relics/damage_reduction_name,의도적인 오보에,draft,,
Relics/damage_return_desc,<style=damage>체력을 잃을</style> 때마다 모든 적에게 <style=damage>잃은 양의 {[DAMAGE_RETURN_MULT]}배</style>만큼 대미지를 줍니다.,draft,,
Relics/damage_return_name,고통의 반지,draft,,
Relics/damage_targeted_on_heal_desc,"잃은 체력을 <style=heal>회복</style>할 때마다, 선택한 적에게 회복한 만큼 대미지를 줍니다.",draft,,
Relics/damage_targeted_on_heal_desc2,"<style=heal>회복</style>할 때마다, 선택한 적에게 <style=damage>회복량의 {[DMG_ON_HEAL_MULT]}배의 대미지</style>를 줍니다.",draft,,
Relics/damage_targeted_on_heal_name,무기화된 질투,draft,,
Relics/debuff_dodge_desc,적에게 부정적인 상태 효과를 하나 적용할 때마다 <style=dodge>{[DEBUFF_DODGE]} 환각</style>을 얻습니다.,draft,,
Relics/debuff_dodge_name,디버프 방해기,draft,,
Relics/debuff_slime_pegs_harder_desc,"<style=upgr_slime>슬라임이 묻은</style> <sprite name=""PEG"">가 다운그레이드될 때마다 추가로 <style=dmg_negative>{[DEBUFF_HARDER_AMOUNT]}</style>만큼 더 다운그레이드됩니다.",draft,,
Relics/debuff_slime_pegs_harder_desc2,"매번 발사할 때 처음으로 <style=upgr_slime>슬라임을 묻힌</style> <sprite name=""PEG"">는 <style=dmg_negative>{[DEBUFF_FIRST_PEG_AMOUNT]}</style>만큼 다운그레이드됩니다.",draft,,
Relics/debuff_slime_pegs_harder_name,나쁜 슬라임,draft,,
Relics/direct_damage_desc,"<style=activate>활성화</style>된 <sprite name=""PEG"">마다 지정된 적에게 <style=dmg_bonus>(구슬 스탯)^{[CAC_EXP]}의 대미지</style>를 주지만, <style=dmg_negative>공격은 오직 {[CAC_DMG]} + 보너스 대미지만 줍니다</style>.",draft,,
Relics/direct_damage_desc2,"구슬 능력치가 <style=dmg_bonus>X^{[CAC_EXP]}</style>로 증가하고, <sprite name=""PEG"">이 <style=activate>활성화</style>될 때마다 지정된 적이 <style=damage>대미지를 받지만</style>, 공격은 더는 발사되지 않습니다.",draft,,
Relics/direct_damage_name,다정한 선인장,draft,,
Relics/double_ballusion_cap_desc,<style=dodge>환각</style> 제한이 2배로 증가합니다.,draft,,
Relics/double_ballusion_cap_desc2,<style=dodge>환각</style> 제한이 {[BALLUSION_CAP_INC]}로 증가합니다.,draft,,
Relics/double_ballusion_cap_desc3,"<style=dodge>환각</style> 최대치가 {[BALLUSION_CAP_INC]}로 증가하고, 공격을 회피할 때 <style=dodge>환각</style>의 {[LOSE_LESS_BALLUSION_NEW_PERCENT]}%를 유지합니다.",draft,,
Relics/double_ballusion_cap_name,곤경의 부츠,draft,,
Relics/double_bombs_desc,"페그보드가 평소의 2배만큼 많은 <sprite name=""BOMB_REGULAR"">과 함께 시작됩니다.",draft,,
Relics/double_bombs_name,폭탄 부적,draft,,
Relics/double_coins_and_prices_desc,"전투 시작 시 페그보드에 <sprite name=""COIN_ONLY"">가 평소보다 2배 많이 배치되지만, 모든 구매 비용도 2배가 됩니다.",draft,,
Relics/double_coins_and_prices_desc2,"전투 시작 시 페그보드에 <sprite name=""COIN_ONLY"">가 {[SKULLTIMATE_GREED_COIN_MOD]}배로 배치되지만, 모든 구매 비용은 2배가 됩니다.",draft,,
Relics/double_coins_and_prices_name,두배골 탐욕 지팡이,draft,,
Relics/double_damage_hurt_self_desc2,"공격이 <style=dmg_bonus>2배 대미지</style>를 주지만, <sprite name=""PEG"">이 {[SKULL_DMG_PEGS]}번 <style=activate>활성화</style>될 때마다 <style=damage>자해 대미지를 {[SKULL_SELF_DMG]} 줍니다</style>.",draft,,
Relics/double_damage_hurt_self_desc3,"공격과 <sprite name=""BOMB"">이 <style=dmg_bonus>2배 대미지</style>를 주지만, <sprite name=""PEG"">이 {[SKULL_DMG_PEGS]}번 <style=activate>활성화</style>될 때마다 <style=damage>자해 대미지를 {[SKULL_SELF_DMG]} 줍니다</style>.",draft,,
Relics/double_damage_hurt_self_name,두배골 지팡이,draft,,
Relics/double_status_effects_desc,"부여하는 상태 효과의 강도가 <style=dmg_bonus>{[DOUBLE_STATUSES_MULT]}배</style>가 되지만, 공격은
<style=dmg_negative>{[DOUBLE_STATUSES_REG_DMG_LOSS]}/{[DOUBLE_STATUSES_CRIT_DMG_LOSS]}</style>를 잃습니다.",draft,,
Relics/double_status_effects_name,지위의 상징,draft,,
Relics/dud_relic_desc,위로가 좀 되시려나요?,draft,,
Relics/dud_relic_name,위로상,draft,,
Relics/duplicate_special_pegs_desc,"<sprite name=""CRIT_PEG""> <sprite name=""REFRESH_PEG"">이 움직이면 이전 위치에 정지된 복사체를 남깁니다.",draft,,
Relics/duplicate_special_pegs_name,복제 물약,draft,,
Relics/duplicator_desc,발사 {[DUPLICATOR_SHOTS]}번마다 <style=multiball>멀티볼 {[DUPLICATOR_MULTIBALL]}</style>을 얻습니다.,draft,,
Relics/duplicator_name,복제 스테이션,draft,,
Relics/echo_chamber_desc2,모든 구슬이 <style=echo>메아리 {[ECHO_PERCENT]}</style>를 얻습니다.,draft,,
Relics/echo_chamber_name,반향실,draft,,
Relics/fewer_crits_desc,"모든 구슬이 <style=dmg_bonus>+{[PENDANT_STR_BONUS]}/+{[PENDANT_CRIT_BONUS]}</style>를 얻지만, 보드에 <sprite name=""CRIT_PEG"">가 1개 줄어듭니다.",draft,,
Relics/fewer_crits_name,수수한 펜던트,draft,,
Relics/fewer_refresh_desc,"모든 구슬이 <style=dmg_bonus>+{[CHALICE_STR_BONUS]}/+{[CHALICE_CRIT_BONUS]}</style>를 얻지만, 보드에 <sprite name=""REFRESH_PEG"">가 1개 줄어듭니다.",draft,,
Relics/fewer_refresh_desc2,"전투 시작 시 <style=finesse>정밀 {[CHALICE_SPINESSE_AMOUNT]}</style>을 얻지만, 보드에 <sprite name=""REFRESH_PEG"">가 하나 적게 배치됩니다.",draft,,
Relics/fewer_refresh_name,흡수의 성배,draft,,
