Term,Translation,Status,ReviewedBuildId,Comment
Orbs/bramble_passthrough_damage,<style=bramble>얽힘 상태인 적</style>은 지나가는 적에게 얽힘 레벨당 {[THORN_DAMAGE]}의 대미지를 줍니다.,draft,,
Orbs/bucklorb_name,약탈구,draft,,
Orbs/buff_first_peg_hit,"처음 <style=hit>명중</style>한 <sprite name=""PEG"">를 <style=dmg_bonus>+{[FIRST_PEG_HIT_BUFF_AMOUNT]}</style> 업그레이드합니다.",draft,,
Orbs/buff_name,강해진다구,draft,,
Orbs/buff_next_orb_attack_all,이 구슬로 공격한 후 다음에 발사하는 구슬이 모든 적을 공격합니다.,draft,,
Orbs/buff_next_orb_attack_all_discard,"이 구슬로 공격하거나 버린 후, 다음에 발사하는 구슬이 모든 적을 공격합니다.",draft,,
Orbs/buff_next_orb_drawn_stats,다음에 뽑는 구슬이 <style=dmg_bonus>+X/+Y</style>를 얻습니다. X와 Y는 이 구슬의 일반 및 치명타 대미지입니다.,draft,,
Orbs/buff_next_orbs_stats,다음에 발사하는 구슬이 <style=dmg_bonus>+X/+Y</style>를 얻습니다. X와 Y는 이 구슬의 일반 및 치명타 대미지입니다.,draft,,
Orbs/buff_next_orbs_stats2,"이 구슬로 공격한 후, 다음 발사되는 구슬은 이 구슬의 일반 및 치명타 대미지만큼 <style=dmg_bonus>+X/+Y</style>를 얻습니다.",draft,,
Orbs/buff_next_orbs_stats_discard,"이 구슬로 공격하거나 버린 후, 다음 발사되는 구슬은 이 구슬의 일반 및 치명타 대미지만큼 <style=dmg_bonus>+X/+Y</style>를 얻습니다.",draft,,
Orbs/buff_orb_desc3,"<style=hit>명중</style>한 <sprite name=""PEG"">를 업그레이드합니다. <style=dmg_bonus>(+{[BUFF_AMOUNT]}의 대미지)</style>",draft,,
Orbs/buff_other_stones_and_bouldorbs,모든 펩볼과 돌덩이가 <style=dmg_bonus>+{[REG_DMG_TO_GIVE]}/+{[CRIT_DMG_TO_GIVE]}</style>를 얻습니다.,draft,,
Orbs/buff_other_stones_bouldorbs_and_orbelisks,"모든 펩볼, 돌덩이, 오벨리스구가 <style=dmg_bonus>+{[REG_DMG_TO_GIVE]}/+{[CRIT_DMG_TO_GIVE]}</style>를 얻습니다.",draft,,
Orbs/cannot_be_removed,덱에서 제거할 수 없습니다.,draft,,
Orbs/cant_hit_coin_pegs,"<sprite name=""PEG_COIN"">을 <style=activate>활성화</style>할 수 없습니다.",draft,,
Orbs/cauldron_bubball_name,가마솥 거품공,draft,,
Orbs/chain_lightning,"튕길 때마다 근처의 <sprite name=""PEG"">에 번개를 내리칩니다.",draft,,
Orbs/chain_lightning2,"튕길 때마다 근처 두 개까지의 <sprite name=""PEG"">에 번개를 내리칩니다.",draft,,
Orbs/chain_lightning3,"튕길 때마다 근처 세 개까지의 <sprite name=""PEG"">에 번개를 내리칩니다.",draft,,
Orbs/chain_lightning_general,"<style=hit>명중</style>할 때마다 <sprite name=""PEG"">를 최대 {[NUM_ZAPS]}개까지 추가로 감전시킵니다.",draft,,
Orbs/chemiball_hazard_name,위험 화학구,draft,,
Orbs/chopping_ballock_name,도마라구,draft,,
Orbs/circcae_name,서카,draft,,
Orbs/cleavorb_name,클리버브,draft,,
Orbs/coin_doubling_orb_name,회전 은행,draft,,
Orbs/coins_contribute_damage,"<style=hit>명중</style>한 <sprite name=""PEG_COIN"">에서 수집한 각 <sprite name=""COIN_ONLY"">은 즉시 지정된 적에게 이 구슬 대미지의 {[COIN_DMG]}배에 달하는 대미지를 줍니다.",draft,,
Orbs/coins_contribute_damage2,"<style=hit>명중</style>한 <sprite name=""PEG_COIN"">에서 수집한 각 <sprite name=""COIN_ONLY"">은 즉시 지정된 적에게 이 구슬 대미지의 {[COIN_DMG]}배에 달하는 대미지를 줍니다.",draft,,
Orbs/coins_contribute_damage_name,모험구,draft,,
Orbs/collatorball_damage_name,부수적 대미지라구,draft,,
Orbs/consume_ballwark_on_attack,구슬을 쏠 때 <style=ballwark>보호막</style>을 모두 소모합니다,draft,,
Orbs/convert_first_peg_to_bomb,"첫 번째로 명중하는 <sprite name=""PEG"">를 <sprite name=""BOMB_REGULAR"">으로 변환합니다.",draft,,
Orbs/convert_first_peg_to_bomb2,"첫 번째로 <style=hit>명중</style>하는 <sprite name=""PEG"">를 <sprite name=""BOMB_REGULAR"">으로 변환합니다.",draft,,
Orbs/convert_first_peg_to_crit,"첫 번째로 <style=hit>명중</style>하는 <sprite name=""PEG"">를 <sprite name=""TEMP_CRIT"">로 변환합니다.",draft,,
Orbs/convert_first_peg_to_refresh,"첫 번째로 <style=hit>명중</style>하는 <sprite name=""PEG"">를 <sprite name=""TEMP_REFRESH"">으로 변환합니다.",draft,,
Orbs/convert_first_peg_to_rigged_bomb,"첫 번째로 <style=hit>명중</style>하는 <sprite name=""PEG"">를 <sprite name=""RIGGED_BOMB"">로 변환합니다.",draft,,
Orbs/convert_peg_to_bomb2,"<sprite name=""PEG"">에 {[CONVERT_COUNT]}번 <style=hit>명중</style>할 때마다 명중한 페그를 <sprite name=""BOMB_REGULAR"">으로 변환합니다.",draft,,
Orbs/convert_peg_to_crit,"<sprite name=""PEG"">에 {[CONVERT_COUNT]}번 <style=hit>명중</style>할 때마다 명중한 페그를 <sprite name=""TEMP_CRIT"">으로 변환합니다.",draft,,
Orbs/convert_peg_to_rigged_bomb,"<sprite name=""PEG"">에 {[CONVERT_COUNT]}번 <style=hit>명중</style>할 때마다 명중한 페그를 <sprite name=""RIGGED_BOMB"">으로 변환합니다.",draft,,
Orbs/convert_to_gold_peg_and_add_coin,"{[GOLD_PEG_CONVERT_COUNT]}번 <sprite name=""PEG""> <style=hit>명중</style>할 때마다 황금 구슬이 되고 {[EXTRA_COINS_ON_CONVERT]} <sprite name=""GOLD"">이 추가됩니다.",draft,,
Orbs/copy_another_orb,재장전할 때마다 보유한 구슬 중 무작위 하나로 변합니다.,draft,,
Orbs/countorb_attack_name,반격 공구,draft,,
Orbs/counts_pegs_multi,각 페그를 {[MULTIHIT_LEVEL]}번 <style=activate>활성화</style>합니다.[i2p_One]각 페그를 {[MULTIHIT_LEVEL]}번 <style=activate>활성화</style>합니다.,draft,,
Orbs/create_bombs_when_drawn,"뽑으면 <sprite name=""PEG""> {[SPECIAL_PEGS]}개를 <sprite name=""BOMB_REGULAR"">로 바꿉니다.",draft,,
Orbs/create_coin_first_peg,"첫 번째 <sprite name=""PEG"">를 <style=hit>명중</style>할 때 <sprite name=""COIN_ONLY"">를 생성합니다.",draft,,
Orbs/create_shield_pegs,"<sprite name=""PEG"">에 {[SHIELD_PEG_COUNT]}번 <style=hit>명중</style>할 때마다 <sprite name=""PEG_SHIELDED"">를 적용합니다.",draft,,
Orbs/create_shield_pegs_per_peg,"<sprite name=""PEG"">에 {[SHIELD_PEG_COUNT]}번 <style=hit>명중</style>할 때마다 <sprite name=""PEG_SHIELDED"">를 적용하고 <style=ballwark>보호막 1</style>을 얻습니다.",draft,,
Orbs/creates_coins,"<sprite name=""PEG"">에 {[HIT_COUNT]}번 <style=hit>명중</style>할 때마다 <sprite name=""COIN_ONLY"">을 생성합니다.",draft,,
Orbs/creates_coins_name,엽전이라구,draft,,
Orbs/creates_refresh_pegs,"<sprite name=""PEG"">에 {[CONVERT_COUNT]}번 <style=hit>명중</style>할 때마다 명중한 페그를 <sprite name=""TEMP_REFRESH"">로 변환합니다.",draft,,
Orbs/crit_buffs_regular_damage,<style=dmg_bonus>+X/+Y</style>를 적용하는 효과가 대신 <style=damage_bonus>+(X+Y)/+0</style>을 적용합니다.,draft,,
Orbs/crit_damage_buffs_regular,이 구슬에 <style=dmg_bonus>+X/+Y</style>를 적용하는 효과가 대신 <style=dmg_bonus>+(X+Y)/+0</style>를 적용합니다.,draft,,
Orbs/crit_damage_buffs_regular2,+X/+Y를 적용하는 효과가 대신 +(X+{[CRIT_TO_REG_BOOST_MOD]}Y)/+0을 적용합니다.,draft,,
Orbs/crit_guaranteed,모든 공격이 치명타가 됩니다,draft,,
Orbs/crit_on_first_hit,"첫 <sprite name=""PEG""> <style=hit>명중</style> 시 치명타를 발동합니다.",draft,,
Orbs/crit_on_hit,"{[CRIT_PEG_COUNT]}번 <sprite name=""PEG""> <style=hit>명중</style>할 때마다 치명타를 발동합니다. (최대 {[CRIT_LIMIT]}회)",draft,,
Orbs/critiball_name,크리티구,draft,,
Orbs/critical_pierces_all,치명타는 모든 적을 관통합니다.,draft,,
Orbs/critorb_name,치명타볼,draft,,
Orbs/crits_grant_extra_pierce,치명타가 발동할 때마다 구슬이 최대 {[CRITS_GRANT_PIERCE_MAX]}까지 적을 추가로 관통합니다.,draft,,
Orbs/crits_grant_extra_pierce2,치명타가 발동할 때마다 구슬이 적을 추가로 관통합니다.,draft,,
Orbs/dagger_name,단구,draft,,
Orbs/damage_all_on_heal,모든 적에게 회복한 양의 {[HEAL_DAMAGE_ALL]}배만큼의 대미지를 줍니다.,draft,,
Orbs/damage_based_on_damage_received,이 전투에서 받은 대미지가 많을수록 기본 공격력이 증가합니다.,draft,,
Orbs/damage_based_on_missing_health,체력이 낮을수록 기본 공격력이 증가합니다.,draft,,
Orbs/damage_based_on_missing_health2,<style=damage>잃은 체력</style>의 {[TOMAHAWK_PERCENT]}%에 해당하는 X만큼 <style=dmg_bonus>+X/+X</style>를 얻습니다.,draft,,
Orbs/damage_based_on_missing_health3,"최대 체력이 100보다 낮을 때, 그 차이가 <style=damage>대미지 계산</style>에 반영됩니다.",draft,,
Orbs/damage_enemies_on_draw_popped_pegs,"뽑으면 <style=damage>모든 적에게 대미지를 줍니다</style>. 대미지량은 <sprite name=""PEG_CLEARED""> × {[ENEMY_DMG_MOD]}입니다.[i2p_One]뽑으면 <style=damage>모든 적에게 대미지를 줍니다</style>. 대미지량은 <sprite name=""PEG_CLEARED""> 개수와 같습니다.",draft,,
Orbs/damage_on_draw_popped_pegs,"뽑으면 <sprite name=""PEG_CLEARED""> 수만큼 <style=damage>자해 대미지를 받습니다</style>.",draft,,
Orbs/damage_on_draw_popped_pegs_reduction,"뽑으면 <sprite name=""PEG_CLEARED""> 수만큼 받는 <style=damage>자해 대미지</style>가 {[DMG_REDUCTION]}% 감소합니다.",draft,,
Orbs/damage_reduction_slime_explain,보드에 있는 <style=upgr_slime>대미지 감소 슬라임</style> 하나당 받는 대미지가 1씩 감소합니다. 대미지 감소 슬라임은 샷을 할 때마다 녹아내립니다.,draft,,
Orbs/damage_reduction_slime_explain2,"보드에 있는 <style=upgr_slime>대미지 감소 슬라임</style> 하나당 받는 대미지를 줄여주며, 효과를 쓰면 사라집니다.",draft,,
Orbs/damage_reduction_slime_first_peg_hit,"처음 <style=hit>명중</style>한 <sprite name=""PEG"">에 <style=upgr_slime>대미지 감소 슬라임</style>을 적용합니다.",draft,,
Orbs/damage_self_increases,이번 전투에서 <style=damage>자해 대미지가</style> <style=damage>{[SELF_DAMAGE_INC]}</style>만큼 증가합니다.,draft,,
Orbs/damage_self_on_attack,발사 시 <style=damage>{[SELF_DAMAGE]}의 자해 대미지</style>를 받습니다.,draft,,
Orbs/damage_self_on_attack_unblockable,발사 시 <style=damage>막을 수 없는 {[SELF_DAMAGE]}의 자해 대미지</style>를 받습니다.,draft,,
Orbs/damage_self_on_discard,버리면 <style=damage>{[DISCARD_DAMAGE]}의 자해 대미지</style>를 받습니다.,draft,,
Orbs/damage_self_on_discard_inc,버리면 이번 전투 동안 <style=damage>구슬을 버릴 때 받는 자해 대미지</style>가 <style=damage>{[DISCARD_DAMAGE_INC]}</style>만큼 증가합니다.,draft,,
Orbs/damage_targeted_on_heal,선택한 적에게 회복한 양의 {[HEAL_DAMAGE_TARGETED]}배만큼의 대미지를 줍니다.,draft,,
Orbs/deal_no_damage,이 구슬은 대미지를 주지 않습니다!,draft,,
Orbs/deals_max_hp_damage,최대 체력 대미지를 줍니다.,draft,,
Orbs/deals_self_damage_per_enemy_hit,적에게 명중할 때마다 <style=damage>{[SELF_DAMAGE_AMOUNT]}의 자해 대미지</style>를 받습니다.,draft,,
Orbs/debuff_effect,"<style=hit>명중</style>한 <sprite name=""PEG"">를 다운그레이드합니다. ({[BUFF_AMOUNT]} 대미지)",draft,,
Orbs/debuff_effect2,"<style=hit>명중</style>한 <sprite name=""PEG"">를 다운그레이드합니다. <style=dmg_negative>({[BUFF_AMOUNT]}의 대미지)</style>",draft,,
Orbs/debuff_name,아이구,draft,,
Orbs/dense,무겁습니다.,draft,,
Orbs/dense2,더 무겁습니다.,draft,,
Orbs/dense3,매우 무겁습니다.,draft,,
Orbs/dense_orb_name,오스뮴 구슬,draft,,
Orbs/destroy_peg_orb_name,고의맙소사구!,draft,,
Orbs/destroy_peg_shield,"<sprite name=""PEG_SHIELD"">를 한 번의 <style=hit>명중</style>으로 파괴합니다.",draft,,
Orbs/destroy_when_fired,사용 후 영구적으로 사라집니다.,draft,,
Orbs/destroys_pegs,"<style=hit>명중</style>한 <sprite name=""PEG"">는 <style=destroy>파괴</style>됩니다.",draft,,
Orbs/detonate_bombs,"<sprite name=""BOMB"">을 한 번의 명중으로 폭발시킵니다.",draft,,
Orbs/detonate_bombs2,"<sprite name=""BOMB"">을 한 번의 <style=hit>명중</style>으로 폭발시킵니다.",draft,,
Orbs/doesnt_activate_crits,"<sprite name=""CRIT_PEG"">에 <style=hit>명중</style>해도 <style=activate>활성화</style>하지 않습니다.",draft,,
Orbs/doesnt_activate_refreshes,"<sprite name=""REFRESH_PEG"">에 <style=hit>명중</style>해도 <style=activate>활성화</style>하지 않습니다.",draft,,
Orbs/doesnt_pop_coin_pegs,"<style=hit>명중</style>해도 <sprite name=""PEG_COIN"">을 <style=pop>터뜨리거나</style> <sprite name=""COIN_ONLY"">을 모으지 않습니다.",draft,,
Orbs/doesnt_pop_crits,"<sprite name=""CRIT_PEG"">에 <style=hit>명중</style>해도 <style=pop>터뜨리지</style> 않습니다.",draft,,
Orbs/douball_douball_name,더볼 더볼,draft,,
Orbs/double_damage_slime_explain,"2배 대미지 슬라임은 <sprite name=""PEG"">를 <style=durable>견고</style>하게 하고, 대미지에 2배로 기여하게 합니다. 페그가 <style=dmg_negative>다운그레이드</style>된 경우, 음수가 아닌 값은 4배로 반영됩니다.",draft,,
Orbs/double_damage_slime_first_peg_hit,"처음 <style=hit>명중</style>한 <sprite name=""PEG"">에 <style=upgr_slime>2배 대미지 슬라임</style>을 적용합니다.",draft,,
Orbs/double_edged_sworb_name,양날의 구,draft,,
Orbs/double_trouball_name,더볼 트러볼,draft,,
Orbs/doubles_everything,지정된 적의 <style=damage>모든 부정적인 상태 효과</style>를 2배로 합니다.,draft,,
Orbs/doubles_multiple,"지정된 적의 <style=poison>감염</style>, <style=blind>어둠</style>, <style=exploitaball>악용구</style>를 2배로 합니다.",draft,,
Orbs/doubles_poison,지정된 적의 <style=poison>감염</style>을 2배로 합니다.,draft,,
Orbs/duplicatorb_desc,"<sprite name=""REFRESH_PEG""> 또는 <sprite name=""CRIT_PEG"">에 <style=hit>명중</style>할 때마다 <sprite name=""TEMP_REFRESH""> 또는 <sprite name=""TEMP_CRIT"">를 {[NUM_DUPLICATES_TO_ADD]}개 생성합니다.",draft,,
Orbs/duplicatorb_name,복제구,draft,,
Orbs/durable_crits,"이 구슬은 <sprite name=""CRIT_PEG"">를 <style=durable>견고</style>한 것으로 취급합니다.",draft,,
Orbs/echo_dmg,메아리: 이전 공격 대미지의 {[ECHO_DMG_PERCENT]}%를 추가 대미지({[ECHO_DMG]})로 줍니다.,draft,,
Orbs/echo_dmg_key,<style=echo>메아리 {[ECHO_DMG_PERCENT]}</style> {[ECHO_DMG]},draft,,
Orbs/echo_orb_name,공명한다구,draft,,
Orbs/egg_break,페그보드의 단단한 물체에 부딪히면 영구적으로 깨집니다.,draft,,
Orbs/egg_name,달걀,draft,,
Orbs/ellucircle_name,엘루서클,draft,,
Orbs/evasive_maneuvorb_name,회피 기동구,draft,,
Orbs/evis_name,적출구,draft,,
Orbs/exacorbate_name,악화,draft,,
Orbs/exploitaball_apply,공격한 적에게 <style=exploitaball>{[STATUS_EFFECT_AMOUNT]} 악용구</style>를 적용합니다.,draft,,
Orbs/extra_bouncy,완전 통통 튑니다!,draft,,
Orbs/extra_orbinary_name,이건 다르다구,draft,,
Orbs/fireball_name,화염구,draft,,
Orbs/fires_with_huge_force,강력한 힘으로 발사합니다.,draft,,
Orbs/flip_buffs,"서로 다른 업그레이드 또는 다운그레이드된 <sprite name=""PEG"">에 {[NUM_HITS_NEEDED]}번 <style=hit>명중</style>할 때마다 해당 페그의 수치에 -{[FLIP_MULT]}를 곱합니다.",draft,,
Orbs/flip_downgrades_and_heal,"다운그레이드된 <sprite name=""PEG"">에 {[NUM_HITS_NEEDED]}번 <style=hit>명중</style>할 때마다 해당 페그의 수치에 -{[FLIP_MULT]}를 곱하고 <style=heal>체력을 1 회복</style>합니다.",draft,,
Orbs/forbification_name,강화,draft,,
Orbs/full_shield_damage,공격이 적의 방어막에 온전한 대미지를 줍니다.,draft,,
Orbs/generatorb_name,생성구,draft,,
Orbs/gets_smaller_each_multiball,<style=multiball>멀티볼</style>이 나뉠 때마다 점점 작아집니다.,draft,,
Orbs/ghost_name,구령현상,draft,,
Orbs/ghost_orb_upwards,"위로 올라가는 동안 <sprite name=""PEG"">를 관통합니다.",draft,,
Orbs/grants_additional_ballusion_on_crit,치명타가 발동될 때마다 <style=dodge>{[STATUS_EFFECT_GRANT_0]} 환각</style>을 얻습니다.,draft,,
Orbs/grants_ballusion,공격 후 <style=dodge>{[STATUS_EFFECT_GRANT_0]} 환각</style>을 얻습니다.,draft,,
Orbs/grants_ballusion_crit_double,치명타 발생 시 <style=dodge>환각 획득량이 {[STATUS_EFFECT_GRANT_MUTLIPLY_ON_HIT_0]}배</style>가 됩니다.,draft,,
Orbs/grants_ballwark_per_peg,"<sprite name=""PEG"">에 {[BALLWARK_GRANT]}번 <style=hit>명중</style>할 때마다 <style=ballwark>보호막 1</style>을 얻습니다.",draft,,
Orbs/grants_ballwark_per_peg2,"<sprite name=""PEG"">에 {[BALLWARK_PEGS]}번 <style=hit>명중</style>할 때마다 <style=ballwark>{[BALLWARK_INTENSITY]} 보호막</style>을 얻습니다.",draft,,
Orbs/grants_intangiball,"<style=dmg_limit>{[INTANGIBALL_STARTING_POINT]}</style>에서 시작하여, 공격 후 <style=dmg_limit>{[INTANGIBALL_REDUCTION_PER_ATTACK]} 인탱글볼</style>을 제거합니다.",draft,,
Orbs/grants_spinesse,공격 후 <style=finesse>{[SPINESSE_GRANT]} 정밀</style>을 얻습니다.,draft,,
Orbs/grants_strength_per_peg,"<sprite name=""PEG"">에 {[NUMBER_OF_PEGS]}번 <style=hit>명중</style>할 때마다 <style=strength>근력 1</style>을 얻습니다.",draft,,
