Term,Translation,Status,ReviewedBuildId,Comment
Menu/RunSummary/final_hp,최종 체력,draft,,
Menu/RunSummary/gold_obtained,획득한 골드,draft,,
Menu/RunSummary/gold_spent,사용한 골드,draft,,
Menu/RunSummary/loss_label,패배,draft,,
Menu/RunSummary/pegs_hit,맞힌 페그,draft,,
Menu/RunSummary/pegs_hit_crit,맞힌 치명타 페그,draft,,
Menu/RunSummary/pegs_hit_refresh,맞힌 새로고침 페그,draft,,
Menu/RunSummary/run_summary_title,게임 요약,draft,,
Menu/RunSummary/run_time,게임 시간,draft,,
Menu/RunSummary/slime_applied,적용한 슬라임,draft,,
Menu/RunSummary/stacks_applied,적용한 중첩,draft,,
Menu/RunSummary/unlock_message,사용자 정의 모드에서 이제 이 아이템들을 사용할 수 있습니다:,draft,,
Menu/RunSummary/win_label,승리,draft,,
Menu/SETTINGS,설정,draft,,
Menu/SFX,효과음,draft,,
Menu/SFX_credits,음향 효과,draft,,
Menu/Save & Quit,저장 후 종료,draft,,
Menu/Skip,건너뛰기,draft,,
Menu/Skip Chest,보물상자 건너뛰기,draft,,
Menu/Skip Relic,유물 건너뛰기 →,draft,,
Menu/Special Thanks,특별 감사,draft,,
Menu/Store/exit_store_label,가게 나가기,draft,,
Menu/Store/remove_orb_label,구슬 제거,draft,,
Menu/Take Relic,유물 획득,draft,,
Menu/The Basics,기본 설명,draft,,
Menu/The Team,제작 팀,draft,,
Menu/Upgrade,업그레이드,draft,,
Menu/Upgrade an Orb,구슬 하나 업그레이드하기,draft,,
Menu/View Orbs,구슬 보기,draft,,
Menu/Yes,예,draft,,
Menu/accept_challenge,도전 수락,draft,,
Menu/accept_challenge_footer,자격을 증명하시겠습니까?,draft,,
Menu/accept_challenge_header,고대의 존재가 당신을 부르고 있습니다...,draft,,
Menu/accept_label,확인,draft,,
Menu/and_thank_you_for_playing,플레이해 주셔서 감사합니다!,draft,,
Menu/animated_label,애니메이션,draft,,
Menu/apply_label,적용,draft,,
Menu/attack_label,공격,draft,,
Menu/audio_settings_label,오디오,draft,,
Menu/auto_label,자동,draft,,
Menu/battery_save_mode,배터리 절약 모드,draft,,
Menu/battle_research_popup,연구 점수!,draft,,
Menu/borderless_label,테두리 없는 창,draft,,
Menu/boss_relics_label,보스 유물,draft,,
Menu/button_prompts_label,버튼 프롬프트,draft,,
Menu/cancel_label,취소,draft,,
Menu/castle_map_name,성,draft,,
Menu/challenge_grant,추가 도전을 수락할까요?,draft,,
Menu/cloud_saves_disabled,클라우드 저장 서비스에 연결할 수 없습니다. 서비스가 일시적으로 중단되었거나 이 기기에서는 지원되지 않습니다.,draft,,
Menu/common_orbs_label,흔한 구슬,draft,,
Menu/common_relics_label,흔한 유물,draft,,
Menu/continue,계속하기,draft,,
Menu/continue_to_core,코어로 계속 진행,draft,,
Menu/continue_to_core2,...계속할까요?,draft,,
Menu/control_mode_label,조작 모드,draft,,
Menu/controller_type_label,컨트롤러 프롬프트,draft,,
Menu/controls,조작,draft,,
Menu/core_map_name,코어,draft,,
Menu/core_warning,당신의 <wave>승리</wave>는 확정되었습니다... 하지만 저 깊은 곳에서 다른 무언가가 <shake>우르릉거립니다</shake>. 주의하세요. 앞으로 등장할 적들은 정정당당하게 싸우지 않을 것입니다. <wiggle>라디아의 코어</wiggle>로 모험을 떠날까요?,draft,,
Menu/credits/additional_code,추가 프로그래밍,draft,,
Menu/credits_additional_art_design,추가 아트 및 디자인,draft,,
Menu/credits_indieark,"IndieArk (중국, 일본, 한국 지역 퍼블리싱)",draft,,
Menu/critical_label,치명타,draft,,
Menu/custom_loadout_custom_orb_start_label,사용자 지정 구슬로 시작,draft,,
Menu/custom_loadout_custom_relic_start_label,사용자 지정 유물로 시작,draft,,
Menu/custom_loadout_default_label,기본,draft,,
Menu/custom_loadout_orb_library_label,구슬 도감,draft,,
Menu/custom_loadout_orbs_label,구슬,draft,,
Menu/custom_loadout_relic_library,유물 도감,draft,,
Menu/custom_loadout_relics_label,유물,draft,,
Menu/custom_loadout_warning,"경고! 사용자 정의 로드아웃이 활성화되었습니다. 도전 과제, 해금, 크루시볼 진행 사항이 비활성화됩니다![i2s_NX]경고! 사용자 정의 로드아웃이 활성화되었습니다. 도전 과제, 해금, 크루시볼 진행 사항이 비활성화됩니다!",draft,,
Menu/custom_start_label,사용자 정의 시작,draft,,
Menu/custom_windowed_res_label,사용자 정의,draft,,
Menu/delete,삭제,draft,,
Menu/delete_save,저장 데이터 삭제,draft,,
Menu/delete_save_confirm,저장 데이터를 삭제할까요? 이 데이터는 한 번 삭제하면 복구할 수 없습니다. 일부 진행 요소는 도전 과제와 연결되어 있어 게임 내에서 지울 수 없습니다. 그래도 진행할까요?,draft,,
Menu/dismiss_popup_checkmark,앞으로는 이 경고를 표시하지 않습니다.,draft,,
Menu/enable_controller_label,컨트롤러 활성화,draft,,
Menu/end_shot,샷 종료,draft,,
Menu/find_in_scenario_to_unlock,시나리오에서만 발견할 수 있습니다.,draft,,
Menu/finish_run,모험 끝내기,draft,,
Menu/fire_button,발사,draft,,
Menu/first_win_description,"승리!
각 직업으로 한 번씩 게임을 클리어하면 새로운 일이 일어날지도 모릅니다 ······",draft,,
Menu/floor_label,층,draft,,
Menu/forest_map_name,숲,draft,,
Menu/fps_label,초당 프레임,draft,,
Menu/fullscreen_label,전체 화면,draft,,
Menu/general_settings_label,일반,draft,,
Menu/healing_label,치유,draft,,
Menu/instant_loot_and_card_drops_label,전리품과 카드 즉시 획득,draft,,
Menu/language_lable,언어,draft,,
Menu/loadout_orb_add,구슬 추가,draft,,
Menu/loadout_orb_cycle_levels,구슬 레벨 변경,draft,,
Menu/loadout_orb_delete,모든 구슬 제거,draft,,
Menu/loadout_orb_remove,구슬 제거,draft,,
Menu/loadout_relic_remove,유물 제거,draft,,
Menu/loadout_show_info,정보 표시,draft,,
Menu/locked_orb_description,아직 이 구슬을 발견하지 않았습니다...,draft,,
Menu/locked_relic_description,아직 이 유물을 발견하지 않았습니다...,draft,,
Menu/locked_relic_shop_only,이 캐릭터로는 상점에서만 발견할 수 있습니다.,draft,,
Menu/menu_high,높음,draft,,
Menu/menu_low,낮음,draft,,
Menu/menu_off,끔,draft,,
Menu/menu_on,켬,draft,,
Menu/mines_map_name,광산,draft,,
Menu/move_mouse_label,마우스를 움직여 조준하기,draft,,
Menu/multiple_orb_removals_left,구슬 {[ORB_REMOVALS_LEFT]}개 제거,draft,,
Menu/new_game,새 게임,draft,,
Menu/options_click_to_aim_description,(클릭하자마자 발사되지 않습니다),draft,,
Menu/original_team,오리지널 팀,draft,,
Menu/other_classes_relics_label,다른 직업의 유물,draft,,
Menu/peglin_core_team,페글린 코어 팀,draft,,
Menu/play,시작,draft,,
Menu/play_cruciball,크루시볼,draft,,
Menu/play_higher_cruciball_to_unlock,더 높은 크루시볼 레벨에 도달하면 해금됩니다.,draft,,
Menu/play_seed_to_unlock,특정 시드로 플레이하면 해금됩니다.,draft,,
Menu/post_battle_heal_button,체력 {[POST_BATTLE_HEAL_AMOUNT]}만큼 회복하기,draft,,
Menu/post_battle_heal_percent,체력 {[POST_BATTLE_HEAL_PERCENT]}% 회복 ({[POST_BATTLE_HEAL_AMOUNT]} 체력),draft,,
Menu/post_battle_increase_max_hp,최대 체력 {[FROGGY_HP]} 증가시키기,draft,,
Menu/pre_run_relic_offer_always,...도움을 받아 보겠니?,draft,,
Menu/rare_orbs_label,희귀한 구슬,draft,,
Menu/rare_relics_label,희귀한 유물,draft,,
Menu/resolution_label,해상도,draft,,
Menu/return_to_menu_label,메인 메뉴로 돌아가기,draft,,
Menu/save_data_corrupted,저장 데이터가 손상되었습니다. 이전 데이터는 백업했으며 새 저장 파일을 생성합니다.,draft,,
Menu/save_data_explanation,페글린이 지도 지점을 떠날 때마다 회차 진행 상황이 저장됩니다.,draft,,
Menu/scenario_only_orbs_label,특수 구슬,draft,,
Menu/scenario_relics_label,시나리오 유물,draft,,
Menu/screen_mode_label,화면 모드,draft,,
Menu/screenshake_label,화면 흔들림 강도[i2s_NX]화면 흔들림 강도,draft,,
Menu/seed_label,시드,draft,,
Menu/set_custom_seed_label,사용자 정의 시드 설정,draft,,
Menu/shop_relics_label,상점 전용 유물,draft,,
Menu/show_cruciball_completion_labels,구슬 및 유물 툴팁에 크루시볼 완료 표시,draft,,
Menu/speedup_amount,가속 배수,draft,,
Menu/speedup_amount_warning,경고: 3배속으로 플레이할 경우 물리 충돌에서 간헐적으로 버그가 발생할 수 있습니다. 최상의 경험을 원하신다면 2배속 플레이를 권장합니다.,draft,,
Menu/speedup_method,가속 제어,draft,,
Menu/speedup_method_hold,누르고 있기,draft,,
Menu/speedup_method_toggle,한 번 눌러 끄고 켜기,draft,,
Menu/static_label,고정,draft,,
Menu/steam_follow_message,<wave>Steam에서 RNG를 팔로우하세요</wave>,draft,,
Menu/three_question_marks,???,draft,,
Menu/unavailable_orbs_label,다른 직업의 구슬,draft,,
Menu/unavailable_relics_label,비밀 유물,draft,,
Menu/uncommon_orbs_label,드문 구슬,draft,,
Menu/upcoming_enemies,다가오는 적:,draft,,
Menu/use_hardware_cursor_label,하드웨어 커서 사용,draft,,
Menu/vibration_label,컨트롤러 진동[i2s_NX]HD 진동,draft,,
Menu/victory_screen_area_one_complete,<wave> 1/3 구역 완료! </wave>,draft,,
Menu/victory_screen_area_two_complete,<wave> 2/3 구역 완료!</wave>,draft,,
Menu/victory_screen_castle_complete,<wave> 성 완료!</wave>,draft,,
Menu/victory_screen_core_complete,<wave>승리!</wave>,draft,,
Menu/victory_screen_ea_release,풀 버전에서 더 많은 월드와 콘텐츠를 즐기실 수 있습니다!,draft,,
Menu/victory_screen_forest_complete,<wave> 숲 완료!</wave>,draft,,
Menu/victory_screen_mines_complete,<wave> 광산 완료!</wave>,draft,,
Menu/victory_screen_you_win,이겼습니다!,draft,,
Menu/video_setings_label,화면,draft,,
Menu/vignette_intensity_label,비네트 강도,draft,,
Menu/vsync_label,수직 동기화,draft,,
Menu/wiki_credits,위키,draft,,
Menu/win_with_orb_to_unlock,특정 구슬을 가지고 게임에서 승리하면 해금됩니다.,draft,,
Menu/win_with_relic_to_unlock,특정 유물을 가지고 게임에서 승리하면 해금됩니다.,draft,,
Menu/windowed_label,창 모드,draft,,
Menu/won_on_all_classes_description,"축하합니다!
이제 각 보스를 처치한 뒤 새로운 도전에 나설 수 있습니다! 도전을 완료하면 광산 아래쪽에 새로운 길이 열립니다...",draft,,
